Time (s),Current (A)
1.2646484375,-5.820766e-10
1.265625,3.49246e-09
1.2666015625,6.548362e-09
1.267578125,5.529728e-09
1.2685546875,6.548362e-09
1.26953125,2.473826e-09
1.2705078125,3.49246e-09
1.271484375,-5.820766e-10
1.2724609375,3.49246e-09
1.2734375,-5.820766e-10
1.2744140625,3.49246e-09
1.275390625,1.455192e-09
1.2763671875,5.529728e-09
1.27734375,9.604264e-09
1.2783203125,1.266017e-08
1.279296875,6.548362e-09
1.2802734375,4.511094e-09
1.28125,6.548362e-09
1.2822265625,-2.619345e-09
1.283203125,2.473826e-09
1.2841796875,7.566996e-09
1.28515625,3.49246e-09
1.2861328125,6.548362e-09
1.287109375,9.604264e-09
1.2880859375,7.566996e-09
1.2890625,7.566996e-09
1.2900390625,6.548362e-09
1.291015625,-5.820766e-10
1.2919921875,3.49246e-09
1.29296875,2.473826e-09
1.2939453125,8.58563e-09
1.294921875,1.06229e-08
1.2958984375,4.511094e-09
1.296875,5.529728e-09
1.2978515625,1.455192e-09
1.298828125,8.58563e-09
1.2998046875,5.529728e-09
1.30078125,3.49246e-09
1.3017578125,2.473826e-09
1.302734375,5.529728e-09
1.3037109375,7.566996e-09
1.3046875,6.548362e-09
1.3056640625,9.604264e-09
1.306640625,9.604264e-09
1.3076171875,8.58563e-09
1.30859375,1.164153e-08
1.3095703125,4.365575e-10
1.310546875,6.548362e-09
1.3115234375,9.604264e-09
1.3125,6.548362e-09
1.3134765625,1.266017e-08
1.314453125,6.548362e-09
1.3154296875,1.36788e-08
1.31640625,6.548362e-09
1.3173828125,4.365575e-10
1.318359375,5.529728e-09
1.3193359375,6.548362e-09
1.3203125,3.49246e-09
1.3212890625,8.58563e-09
1.322265625,1.266017e-08
1.3232421875,6.548362e-09
1.32421875,8.58563e-09
1.3251953125,5.529728e-09
1.326171875,9.604264e-09
1.3271484375,1.06229e-08
1.328125,4.511094e-09
1.3291015625,5.529728e-09
1.330078125,1.06229e-08
1.3310546875,8.58563e-09
1.33203125,1.36788e-08
1.3330078125,1.775334e-08
1.333984375,8.58563e-09
1.3349609375,8.58563e-09
1.3359375,8.58563e-09
1.3369140625,9.604264e-09
1.337890625,1.06229e-08
1.3388671875,4.365575e-10
1.33984375,1.164153e-08
1.3408203125,1.36788e-08
1.341796875,1.469743e-08
1.3427734375,1.164153e-08
1.34375,1.266017e-08
1.3447265625,8.58563e-09
1.345703125,6.548362e-09
1.3466796875,1.455192e-09
1.34765625,8.58563e-09
1.3486328125,8.58563e-09
1.349609375,7.566996e-09
1.3505859375,5.529728e-09
1.3515625,7.566996e-09
1.3525390625,3.49246e-09
1.353515625,1.164153e-08
1.3544921875,8.58563e-09
1.35546875,8.58563e-09
1.3564453125,4.511094e-09
1.357421875,8.58563e-09
1.3583984375,7.566996e-09
1.359375,1.36788e-08
1.3603515625,1.97906e-08
1.361328125,1.266017e-08
1.3623046875,1.469743e-08
1.36328125,1.164153e-08
1.3642578125,1.266017e-08
1.365234375,1.06229e-08
1.3662109375,1.36788e-08
1.3671875,7.566996e-09
1.3681640625,1.571607e-08
1.369140625,1.266017e-08
1.3701171875,1.36788e-08
1.37109375,1.877197e-08
1.3720703125,1.164153e-08
1.373046875,8.58563e-09
1.3740234375,1.164153e-08
1.375,1.164153e-08
1.3759765625,1.67347e-08
1.376953125,1.36788e-08
1.3779296875,7.566996e-09
1.37890625,1.36788e-08
1.3798828125,1.67347e-08
1.380859375,9.604264e-09
1.3818359375,1.06229e-08
1.3828125,7.566996e-09
1.3837890625,1.164153e-08
1.384765625,1.775334e-08
1.3857421875,1.469743e-08
1.38671875,1.775334e-08
1.3876953125,1.67347e-08
1.388671875,1.67347e-08
1.3896484375,2.182787e-08
1.390625,2.080924e-08
1.3916015625,1.36788e-08
1.392578125,1.877197e-08
1.3935546875,1.571607e-08
1.39453125,1.36788e-08
1.3955078125,2.080924e-08
1.396484375,2.080924e-08
1.3974609375,2.182787e-08
1.3984375,2.488378e-08
1.3994140625,1.67347e-08
1.400390625,1.877197e-08
1.4013671875,1.877197e-08
1.40234375,1.469743e-08
1.4033203125,1.775334e-08
1.404296875,2.386514e-08
1.4052734375,2.284651e-08
1.40625,2.284651e-08
1.4072265625,1.67347e-08
1.408203125,1.67347e-08
1.4091796875,1.97906e-08
1.41015625,1.67347e-08
1.4111328125,1.67347e-08
1.412109375,1.67347e-08
1.4130859375,1.469743e-08
1.4140625,1.775334e-08
1.4150390625,2.284651e-08
1.416015625,2.488378e-08
1.4169921875,2.488378e-08
1.41796875,2.692104e-08
1.4189453125,2.590241e-08
1.419921875,2.488378e-08
1.4208984375,2.386514e-08
1.421875,2.590241e-08
1.4228515625,2.997695e-08
1.423828125,2.692104e-08
1.4248046875,3.507012e-08
1.42578125,3.201421e-08
1.4267578125,2.590241e-08
1.427734375,2.997695e-08
1.4287109375,2.284651e-08
1.4296875,2.284651e-08
1.4306640625,2.895831e-08
1.431640625,3.099558e-08
1.4326171875,3.507012e-08
1.43359375,2.997695e-08
1.4345703125,3.201421e-08
1.435546875,3.201421e-08
1.4365234375,2.793968e-08
1.4375,2.692104e-08
1.4384765625,2.997695e-08
1.439453125,2.488378e-08
1.4404296875,3.405148e-08
1.44140625,3.710738e-08
1.4423828125,3.914465e-08
1.443359375,4.016329e-08
1.4443359375,3.405148e-08
1.4453125,3.710738e-08
1.4462890625,3.812602e-08
1.447265625,3.507012e-08
1.4482421875,3.812602e-08
1.44921875,3.914465e-08
1.4501953125,4.321919e-08
1.451171875,4.220055e-08
1.4521484375,4.729372e-08
1.453125,4.933099e-08
1.4541015625,5.238689e-08
1.455078125,4.423782e-08
1.4560546875,4.627509e-08
1.45703125,4.831236e-08
1.4580078125,4.933099e-08
1.458984375,5.649053e-08
1.4599609375,5.85278e-08
1.4609375,5.649053e-08
1.4619140625,6.056507e-08
1.462890625,6.463961e-08
1.4638671875,6.158371e-08
1.46484375,6.769551e-08
1.4658203125,6.565824e-08
1.466796875,6.973278e-08
1.4677734375,7.177005e-08
1.46875,8.093775e-08
1.4697265625,8.704956e-08
1.470703125,8.704956e-08
1.4716796875,9.316136e-08
1.47265625,9.418e-08
1.4736328125,9.825453e-08
1.474609375,9.927317e-08
1.4755859375,1.05385e-07
1.4765625,1.074222e-07
1.4775390625,1.094595e-07
1.478515625,1.196458e-07
1.4794921875,1.288136e-07
1.48046875,1.369626e-07
1.4814453125,1.400185e-07
1.482421875,1.481676e-07
1.4833984375,1.410372e-07
1.484375,1.542794e-07
1.4853515625,1.624285e-07
1.486328125,1.736626e-07
1.4873046875,1.858862e-07
1.48828125,1.909793e-07
1.4892578125,2.00147e-07
1.490234375,2.133893e-07
1.4912109375,2.276502e-07
1.4921875,2.398738e-07
1.4931640625,2.520974e-07
1.494140625,2.75526e-07
1.4951171875,2.897868e-07
1.49609375,3.0917e-07
1.4970703125,3.295427e-07
1.498046875,3.499154e-07
1.4990234375,3.855675e-07
1.5,4.130998e-07
1.5009765625,4.456961e-07
1.501953125,4.956091e-07
1.5029296875,5.414768e-07
1.50390625,5.985203e-07
1.5048828125,6.688351e-07
1.505859375,7.594936e-07
1.5068359375,8.654606e-07
1.5078125,9.836513e-07
1.5087890625,1.145672e-06
1.509765625,1.344335e-06
1.5107421875,1.606211e-06
1.51171875,1.698907e-06
